"Table 6. mRNA relative abundances in M9 + glucose and LB media"				
				
"This table contains the relative abundances for individual mRNAs in M9 + glucose"				
"and LB media. Relative abundances were determined by using mRNA harvested from"				
"cultures grown at 30ºC to OD600 = 0.8 as described in Materials and Methods. "				
"The data in this file were used as source data for Fig. 3A."				
				
			"Relative abundance "	"Relative abundance "
"B3907"	"rhaT"	"rhaT rhamnose transport "		-1.241
"B3908"	"sodA"	"sodA superoxide dismutase, manganese "	4.56	3.796
"B3910"	"yiiM"	"yiiM orf, hypothetical protein "	-0.868	-0.493
"B3911"	"cpxA"	"cpxA probable sensor protein (histidine protein kinase), acting on arcA "	-1.25	-0.348
"B3912"	"cpxR"	"cpxR transcriptional regulator in 2-component system "	-0.828	0.421
"B3913"	"B3913"	"B3913 orf, hypothetical protein "	-0.497	0.72
"B3914"	"B3914"	"B3914 orf, hypothetical protein "	-1.19	-0.347
"B3915"	"yiiP"	"yiiP putative transport system permease protein "	-1.405	-0.41
"B3916"	"pfkA"	"pfkA 6-phosphofructokinase I "	-0.753	0.726
"B3917"	"sbp"	"sbp periplasmic sulfate-binding protein "		-1.831
"B3919"	"tpiA"	"tpiA triosephosphate isomerase "	1.674	2.206
"B3920"	"yiiQ"	"yiiQ orf, hypothetical protein "	-0.744	-0.533
"B3921"	"yiiR"	"yiiR orf, hypothetical protein "		-0.74
"B3922"	"yiiS"	"yiiS orf, hypothetical protein "		0.705
"B3923"	"yiiT"	"yiiT putative regulator "	-0.052	0.342
"B3924"	"fpr"	"fpr ferredoxin-NADP reductase "	0.263	0.038
"B3925"	"glpX"	"glpX unknown function in glycerol metabolism "	-1.538	-0.737
"B3926"	"glpK"	"glpK glycerol kinase "	-0.383	-1.09
"B3927"	"glpF"	"glpF facilitated diffusion of glycerol "	-1.954	-0.696
"B3928"	"yiiU"	"yiiU orf, hypothetical protein "	2.06	0.89
"B3929"	"menG"	"menG menaquinone biosynthesis, unknown "	-0.693	0.59
"B3930"	"menA"	"menA 1,4-dihydroxy-2-naphthoate --> dimethylmenaquinone "	-2.06	-0.991
"B3931"	"hslU"	"hslU heat shock protein hslVU, ATPase subunit, homologous to chaperones "	0.619	0.385
"B3932"	"hslV"	"hslV heat shock protein hslVU, proteasome-related peptidase subunit "	-0.26	-0.138
"B3933"	"ftsN"	"ftsN essential cell division protein "	-0.433	0.354
"B3934"	"cytR"	"cytR regulator for deo operon, udp, cdd, tsx, nupC, and nupG "	-0.358	-1.192
"B3935"	"priA"	"priA primosomal protein N'(= factor Y)(putative helicase) "	-1.427	-0.859
"B3936"	"rpmE"	"rpmE 50S ribosomal subunit protein L31 "	2.174	1.077
"B3937"	"yiiX"	"yiiX orf, hypothetical protein "		-1.528
"B3938"	"metJ"	"metJ repressor of all met genes but metF "	-0.711	0.048
"B3939"	"metB"	"metB cystathionine gamma-synthase "	-2.451	0.473
"B3940"	"metL"	"metL aspartokinase II and homoserine dehydrogenase II "	-2.275	-0.062
"B3941"	"metF"	"metF 5,10-methylenetetrahydrofolate reductase "		1.07
"B3942"	"katG"	"katG catalase; hydroperoxidase HPI(I) "	-1.597	-0.901
"B3943"	"yijE"	"yijE orf, hypothetical protein "		
"B3944"	"yijF"	"yijF orf, hypothetical protein "		
"B3945"	"gldA"	"gldA glycerol dehydrogenase, (NAD) "		-1.547
"B3946"	"talC"	"talC putative transaldolase "		-1.552
"B3947"	"ptsA"	"ptsA PEP-protein phosphotransferase system enzyme I "		-2.089
"B3948"	"yijI"	"yijI orf, hypothetical protein "		-0.995
"B3949"	"frwC"	"frwC PTS system, fructose-like enzyme II component "		-1.249
"B3951"	"pflD"	"pflD formate acetyltransferase 2 "		-1.594
"B3954"	"yijO"	"yijO putative ARAC-type regulatory protein "		-0.132
"B3955"	"yijP"	"yijP orf, hypothetical protein "	-1.078	-0.949
"B3956"	"ppc"	"ppc phosphoenolpyruvate carboxylase "	-0.862	1.297
"B3957"	"argE"	"argE acetylornithine deacetylase "	-1.289	0.554
"B3958"	"argC"	"argC N-acetyl-gamma-glutamylphosphate reductase "		-0.968
"B3959"	"argB"	"argB acetylglutamate kinase "		-0.63
"B3960"	"argH"	"argH argininosuccinate lyase "		-1.078
"B3961"	"oxyR"	"oxyR activator, hydrogen peroxide-inducible genes "	-0.177	-0.051
"B3962"	"udhA"	"udhA putative oxidoreductase "	3.382	0.751
"B3963"	"yijC"	"yijC orf, hypothetical protein "	0.715	0.807
"B3964"	"yijD"	"yijD orf, hypothetical protein "	0.583	0.293
"B3965"	"trmA"	"trmA tRNA (uracil-5-)-methyltransferase "	-0.991	0.049
"B3966"	"BtuB"	"BtuB outer membrane receptor for transport of vitamin B12, E colicins, and bacteriophage BF23 "	0.161	0.636
"B3967"	"murI"	"murI glutamate racemase, required for biosynthesis of D-glutamate and peptidoglycan "	0.55	2.131
"B3972"	"murB"	"murB UDP-N-acetylenolpyruvoylglucosamine reductase "	0.419	1.705
"B3973"	"BirA"	"BirA Biotin-[acetylCoA carboxylase] holoenzyme synthetase and biotin operon repressor "	-0.526	0.965
"B3974"	"coaA"	"coaA pantothenate kinase "	-0.139	0.979
"B3980"	"tufB"	"tufB protein chain elongation factor EF-Tu (duplicate of tufA) "	4.898	4.374
"B3981"	"secE"	"secE preprotein translocase "	0.069	1.425
"B3982"	"nusG"	"nusG component in transcription antitermination "	-0.026	0.788
"B3983"	"rplK"	"rplK 50S ribosomal subunit protein L11 "	2.763	2.778
"B3984"	"rplA"	"rplA 50S ribosomal subunit protein L1, regulates synthesis of L1 and L11 "	1.652	2.014
"B3985"	"rplJ"	"rplJ 50S ribosomal subunit protein L10 "	1.469	2.293
"B3986"	"rplL"	"rplL 50S ribosomal subunit protein L7/L12 "	4.508	4.115
"B3987"	"rpoB"	"rpoB RNA polymerase, beta subunit "	1.372	1.803
"B3988"	"rpoC"	"rpoC RNA polymerase, beta prime subunit "	-0.205	0.78
"B3989"	"htrC"	"htrC heat shock protein htrC "		
"B3990"	"thiH"	"thiH thiamin biosynthesis, thiazole moiety "		-1.548
"B3991"	"thiG"	"thiG thiamin biosynthesis, thiazole moiety "		-1.131
"B3993"	"thiE"	"thiE thiamin biosynthesis, thiazole moiety "		-1.622
"B3994"	"thiC"	"thiC thiamin biosynthesis, pyrimidine moiety "		-1.606
"B3995"	"yjaE"	"yjaE putative transcriptional regulator "	1.203	1.639
"B3996"	"yjaD"	"yjaD orf, hypothetical protein "	-1.373	-0.159
"B3997"	"hemE"	"hemE uroporphyrinogen decarboxylase "	-1.635	-0.211
"B3998"	"nfi"	"nfi endonuclease V (deoxyinosine 3'endoduclease) "	-1.257	0.105
"B3999"	"yjaG"	"yjaG orf, hypothetical protein "	-0.451	0.1
"B4000"	"hupA"	"hupA DNA-binding protein HU-alpha (HU-2) "	2.907	2.263
"B4001"	"yjaH"	"yjaH orf, hypothetical protein "	-1.298	-0.274
"B4002"	"yjaI"	"yjaI orf, hypothetical protein "		-0.965
"B4003"	"hydH"	"hydH sensor kinase for HydG, hydrogenase 3 activity "		0.443
"B4004"	"hydG"	"hydG response regulator of hydrogenase 3 activity (sensor HydH) "		-0.492
"B4005"	"purD"	"purD phosphoribosylglycinamide synthetase = GAR synthetase "		0.512
"B4006"	"purH"	"purH phosphoribosylaminoimidazolecarboxamideformyltransferase = AICAR formyltransferase; IMP cyclohydrolase "	-0.944	1.168
"B4011"	"yjaA"	"yjaA orf, hypothetical protein "	-0.667	1.323
"B4012"	"yjaB"	"yjaB orf, hypothetical protein "	-1.259	1.327
"B4013"	"metA"	"metA homoserine transsuccinylase "		2.479
"B4015"	"aceA"	"aceA isocitrate lyase "	0.483	2.877
"B4016"	"aceK"	"aceK isocitrate dehydrogenase kinase/phosphatase "		0.879
"B4018"	"iclR"	"iclR repressor of aceBA operon "	-1.296	-0.556
"B4019"	"metH"	"metH B12-dependent homocysteine-N5-methyltetrahydrofolate transmethylase, repressor of metE and metF "	-2.568	-0.43
"B4020"	"yjbB"	"yjbB putative alpha helix protein "		-1.179
"B4021"	"pepE"	"pepE peptidase E, a dipeptidase where amino-terminal residue is aspartate "		
"B4022"	"yjbC"	"yjbC orf, hypothetical protein "		-0.795
"B4023"	"yjbD"	"yjbD orf, hypothetical protein "		0.309
"B4024"	"lysC"	"lysC aspartokinase III, lysine sensitive "		-0.248
"B4025"	"pgi"	"pgi glucosephosphate isomerase "	0.7	1.611
"B4027"	"yjbF"	"yjbF orf, hypothetical protein "		-0.364
"B4029"	"yjbH"	"yjbH orf, hypothetical protein "		
"B4030"	"yjbA"	"yjbA orf, hypothetical protein "		0.96
"B4033"	"malF"	"malF part of maltose permease, periplasmic "		-0.676
"B4035"	"malK"	"malK ATP-binding component of transport system for maltose "		
"B4036"	"lamB"	"lamB phage lambda receptor protein; maltose high-affinity receptor "		-2.058
"B4037"	"malM"	"malM periplasmic protein of mal regulon "		-0.441
"B4039"	"ubiC"	"ubiC chorismate lyase "	-0.579	-0.681
"B4040"	"ubiA"	"ubiA 4-hydroxybenzoate-octaprenyltransferase "	-1.711	-1.434
"B4041"	"plsB"	"plsB glycerol-3-phosphate acyltransferase "	0.079	-1.015
"B4042"	"dgkA"	"dgkA diacylglycerol kinase "		
"B4043"	"lexA"	"lexA regulator for SOS(lexA) regulon "	0.48	0.553
"B4044"	"dinF"	"dinF DNA-damage-inducible protein F "		-0.941
"B4045"	"yjbJ"	"yjbJ orf, hypothetical protein "	0.115	0.702
"B4046"	"yjbK"	"yjbK putative regulator "	-1.127	0.009
"B4050"	"yjbO"	"yjbO orf, hypothetical protein "		-1.458
"B4051"	"qor"	"qor quinone oxidoreductase "	-1.116	0.708
"B4052"	"dnaB"	"dnaB replicative DNA helicase; part of primosome "	-0.947	-0.675
"B4053"	"alr"	"alr alanine racemase 1 "		-0.316
"B4054"	"tyrB"	"tyrB tyrosine aminotransferase, tyrosine repressible "	-0.605	2.062
"B4055"	"aphA"	"aphA diadenosine tetraphosphatase "	0.304	-1.143
"B4056"	"yjbQ"	"yjbQ orf, hypothetical protein "	-0.046	1.543
"B4057"	"yjbR"	"yjbR orf, hypothetical protein "	-1.106	0.826
"B4058"	"uvrA"	"uvrA excision nuclease subunit A "	-0.779	-0.162
"B4059"	"ssb"	"ssb ssDNA-binding protein "	-0.422	-0.061
"B4060"	"yjcB"	"yjcB orf, hypothetical protein "	-1.114	2.453
"B4062"	"soxS"	"soxS regulation of superoxide response regulon "	0.897	1.484
"B4063"	"soxR"	"soxR redox-sensing activator of soxS "		-1.239
"B4067"	"yjcG"	"yjcG putative transport protein "	-1.315	-1.523
"B4068"	"yjcH"	"yjcH orf, hypothetical protein "	0.072	
"B4069"	"acs"	"acs acetyl-CoA synthetase "	1.101	-1.836
"B4070"	"nrfA"	"nrfA periplasmic cytochrome c(552): plays a role in nitrite reduction "		-1.968
"B4071"	"nrfB"	"nrfB formate-dependent nitrite reductase; a penta-haeme cytochrome c "		
"B4072"	"nrfC"	"nrfC formate-dependent nitrite reductase; Fe-S centers "		-1.099
"B4073"	"nrfD"	"nrfD formate-dependent nitrate reductase complex; transmembrane protein "		-0.991
"B4074"	"nrfE"	"nrfE formate-dependent nitrite reductase; possible assembly function "		-1.685
"B4076"	"nrfG"	"nrfG part of formate-dependent nitrite reductase complex "		
"B4077"	"gltP"	"gltP glutamate-aspartate symport protein "		-0.842
"B4078"	"yjcO"	"yjcO orf, hypothetical protein "		-0.815
"B4079"	"fdhF"	"fdhF selenopolypeptide subunit of formate dehydrogenase H "		
"B4080"	"yjcP"	"yjcP putative enzyme "		-2.216
"B4081"	"yjcQ"	"yjcQ putative enzyme "		
"B4084"	"yjcT"	"yjcT putative NAGC-like transcriptional regulator "		
"B4087"	"yjcW"	"yjcW putative ATP-binding component of a transport system "		-1.709
"B4089"	"rpiR"	"rpiR transcriptional repressor of rpiB expression "	-1.005	-0.456
"B4090"	"rpiB"	"rpiB ribose 5-phosphate isomerase B "		-1.173
"B4091"	"phnQ"	"phnQ orf, hypothetical protein "		-1.414
"B4093"	"phnO"	"phnO putative regulator, phn operon "		-0.549
"B4095"	"phnM"	"phnM phosphonate metabolism "		-1.154
"B4097"	"phnK"	"phnK ATP-binding component of phosphonate transport "		-1.375
"B4098"	"phnJ"	"phnJ phosphonate metabolism "		-0.573
"B4099"	"phnI"	"phnI phosphonate metabolism "		
"B4100"	"phnH"	"phnH phosphonate metabolism "		
"B4101"	"phnG"	"phnG phosphonate metabolism "		-0.798
"B4102"	"phnF"	"phnF putative transcriptional regulator "		
"B4103"	"B4103"	"B4103 orf, hypothetical protein "		-0.615
"B4104"	"phnE"	"phnE membrane channel protein component of Pn transporter "		-0.811
"B4106"	"phnC"	"phnC ATP-binding component of phosphonate transport "		
"B4107"	"phnB"	"phnB orf, hypothetical protein "		-0.181
"B4108"	"phnA"	"phnA orf, hypothetical protein "	-0.222	-0.649
"B4109"	"yjdA"	"yjdA putative vimentin "		-1.167
"B4111"	"proP"	"proP low-affinity transport system; proline permease II "	0.039	1.818
"B4112"	"BasS"	"BasS sensor protein for basR "		-1.018
"B4113"	"BasR"	"BasR transcriptional regulatory protein, member of 2-component regulatory system, "		
"B4114"	"yjdB"	"yjdB orf, hypothetical protein "		-2.16
"B4115"	"yjdE"	"yjdE putative amino acid/amine transport protein, cryptic "		
"B4118"	"melR"	"melR regulator of melibiose operon "		
"B4119"	"melA"	"melA alpha-galactosidase "		-1.866
"B4121"	"yjdF"	"yjdF orf, hypothetical protein "		
"B4122"	"fumB"	"fumB fumarase B= fumarate hydratase Class I; anaerobic isozyme "		-1.879
"B4123"	"dcuB"	"dcuB anaerobic dicarboxylate transport "		
"B4124"	"yjdG"	"yjdG putative 2-component transcriptional regulator "	-1.223	-1.577
"B4125"	"yjdH"	"yjdH putative 2-component sensor protein "	-1.79	-1.505
"B4126"	"yjdI"	"yjdI orf, hypothetical protein "	-0.212	0.016
"B4127"	"yjdJ"	"yjdJ orf, hypothetical protein "	0.725	0.545
"B4129"	"lysU"	"lysU lysine tRNA synthetase, inducible; heat shock protein "	0.661	-1.185
"B4130"	"yjdL"	"yjdL putative peptide transporter "		
"B4133"	"cadC"	"cadC transcriptional activator of cad operon "		
"B4135"	"yjdC"	"yjdC orf, hypothetical protein "	0.835	1.018
"B4136"	"dsbD"	"dsbD thiol:disulfide interchange protein; copper tolerance "	-1.402	-0.012
"B4137"	"cutA"	"cutA divalent cation tolerance protein; cytochrome c biogenesis "		1.076
"B4138"	"dcuA"	"dcuA anaerobic dicarboxylate transport "	0.258	0.713
"B4139"	"aspA"	"aspA aspartate ammonia-lyase (aspartase) "	2.647	-1.17
"B4140"	"B4140"	"B4140 orf, hypothetical protein "		-0.565
"B4141"	"yjeH"	"yjeH putative transport "	-2.203	-0.659
"B4142"	"mopB"	"mopB GroES, 10 Kd chaperone binds to Hsp60 in pres. Mg-ATP, suppressing its ATPase activity "	2.852	1.912
"B4143"	"mopA"	"mopA GroEL, chaperone Hsp60, peptide-dependent ATPase, heat shock protein "	2.066	1.957
"B4144"	"yjeI"	"yjeI orf, hypothetical protein "	-0.077	1.375
"B4145"	"yjeJ"	"yjeJ orf, hypothetical protein "		-1.409
"B4146"	"yjeK"	"yjeK orf, hypothetical protein "	-1.764	-0.347
"B4147"	"efp"	"efp elongation factor P (EF-P) "	1.625	0.97
"B4148"	"sugE"	"sugE suppresses groEL, may be chaperone "	-0.745	0.557
"B4149"	"Blc"	"Blc outer membrane lipoprotein (lipocalin) "	-0.475	0.672
"B4150"	"ampC"	"ampC Beta-lactamase; penicillin resistance "	-0.89	-1.219
"B4151"	"frdD"	"frdD fumarate reductase, anaerobic, membrane anchor polypeptide "		0.915
"B4153"	"frdB"	"frdB fumarate reductase, anaerobic, iron-sulfur protein subunit "	-0.284	
"B4154"	"frdA"	"frdA fumarate reductase, anaerobic, flavoprotein subunit "	0.893	-0.869
"B4155"	"yjeA"	"yjeA putative lysyl-tRNA synthetase "		-1.739
"B4156"	"yjeM"	"yjeM putative transport "		
"B4158"	"yjeO"	"yjeO orf, hypothetical protein "		-0.838
"B4160"	"psd"	"psd phosphatidylserine decarboxylase; phospholipid synthesis "	-0.545	0.505
"B4161"	"yjeQ"	"yjeQ orf, hypothetical protein "	-1.072	0.239
"B4162"	"yjeR"	"yjeR orf, hypothetical protein "	-0.618	-0.207
"B4166"	"yjeS"	"yjeS orf, hypothetical protein "	-1.03	-0.795
"B4167"	"yjeF"	"yjeF orf, hypothetical protein "		-0.555
"B4168"	"yjeE"	"yjeE orf, hypothetical protein "	-2	-0.494
"B4169"	"amiB"	"amiB N-acetylmuramoyl-l-alanine amidase II; a murein hydrolase "		-0.772
"B4170"	"mutL"	"mutL enzyme in methyl-directed mismatch repair "	-1.717	-0.514
"B4171"	"miaA"	"miaA delta(2)-isopentenylpyrophosphate tRNA-adenosine transferase "	1.431	1.794
"B4172"	"hfq"	"hfq host factor I for bacteriophage Q beta replication, a growth-related protein "	3.768	3.421
"B4173"	"hflX"	"hflX GTP - binding subunit of protease specific for phage lambda cII repressor "	-0.304	0.85
"B4174"	"hflK"	"hflK protease specific for phage lambda cII repressor "	0.425	0.98
"B4175"	"hflC"	"hflC protease specific for phage lambda cII repressor "	0.116	0.89
"B4176"	"yjeT"	"yjeT orf, hypothetical protein "	0.617	1.196
"B4177"	"purA"	"purA adenylosuccinate synthetase "	0.289	2.229
"B4178"	"yjeB"	"yjeB orf, hypothetical protein "	-0.269	1.249
"B4179"	"vacB"	"vacB putative enzyme "	-1.285	-0.11
"B4186"	"yjfC"	"yjfC putative synthetase/amidase "		-1.476
"B4187"	"aidB"	"aidB putative acyl coenzyme A dehydrogenase "		-0.331
"B4188"	"yjfN"	"yjfN orf, hypothetical protein "	-0.107	-1.066
"B4190"	"yjfP"	"yjfP orf, hypothetical protein "		-0.839
"B4191"	"yjfQ"	"yjfQ putative DEOR-type transcriptional regulator "		-0.953
"B4192"	"yjfR"	"yjfR orf, hypothetical protein "		
"B4193"	"sgaT"	"sgaT orf, hypothetical protein "		-2.24
"B4194"	"sgaB"	"sgaB orf, hypothetical protein "		
"B4195"	"ptxA"	"ptxA putative PTS system enzyme II A component "		
"B4196"	"sgaH"	"sgaH probable hexulose-6-phosphate synthase "	-0.392	-0.133
"B4197"	"sgaU"	"sgaU putative hexulose-6-phosphate isomerase "		-0.016
"B4198"	"sgaE"	"sgaE putative epimerase/aldolase "		-0.489
"B4199"	"yjfY"	"yjfY orf, hypothetical protein "		-0.078
"B4200"	"rpsF"	"rpsF 30S ribosomal subunit protein S6 "	3.345	2.866
"B4201"	"priB"	"priB primosomal replication protein N "	3.03	2.81
"B4202"	"rpsR"	"rpsR 30S ribosomal subunit protein S18 "	3.862	2.855
"B4203"	"rplI"	"rplI 50S ribosomal subunit protein L9 "	1.147	1.05
"B4205"	"ytfA"	"ytfA orf, hypothetical protein "		-0.894
"B4206"	"ytfB"	"ytfB orf, hypothetical protein "	0.118	0.676
"B4207"	"fklB"	"fklB FKBP-type 22KD peptidyl-prolyl cis-trans isomerase (rotamase) "	1.017	0.458
"B4208"	"cycA"	"cycA transport of D-alanine, D-serine, and glycine "	-1.843	-0.943
"B4209"	"ytfE"	"ytfE orf, hypothetical protein "		-1.103
"B4210"	"ytfF"	"ytfF putative transmembrane subunit "		-1.209
"B4211"	"ytfG"	"ytfG putative oxidoreductase "		-1.214
"B4212"	"ytfH"	"ytfH orf, hypothetical protein "		0.937
"B4213"	"cpdB"	"cpdB 2':3'-cyclic-nucleotide 2'-phosphodiesterase "	-1.424	-1.966
"B4214"	"cysQ"	"cysQ affects pool of 3'-phosphoadenosine-5'-phosphosulfate in pathway of sulfite synthesis "	-2.102	-0.22
"B4217"	"ytfK"	"ytfK orf, hypothetical protein "	1.037	0.779
"B4218"	"ytfL"	"ytfL putative transport protein "		
"B4219"	"msrA"	"msrA peptide methionine sulfoxide reductase "	-0.535	1.349
"B4220"	"ytfM"	"ytfM orf, hypothetical protein "	-1.881	-0.952
"B4221"	"ytfN"	"ytfN orf, hypothetical protein "		-1.265
"B4222"	"ytfP"	"ytfP orf, hypothetical protein "	-0.794	0.217
"B4223"	"yjfA"	"yjfA orf, hypothetical protein "	-0.76	0.409
"B4224"	"chpS"	"chpS suppressor of inhibitory function of ChpB, PemI-like, autoregulated "		-1.236
"B4225"	"chpB"	"chpB probable growth inhibitor, PemK-like, autoregulated "	-1.44	-0.541
"B4226"	"ppa"	"ppa inorganic pyrophosphatase "	3.592	2.422
"B4227"	"ytfQ"	"ytfQ putative LACI-type transcriptional regulator "	-0.642	-1.039
"B4228"	"ytfR"	"ytfR putative ATP-binding component of a transport system "		
"B4229"	"ytfS"	"ytfS putative ATP-binding component of a transport system "		
"B4230"	"ytfT"	"ytfT putative transport system permease protein "		
"B4231"	"yjfF"	"yjfF putative transport system permease protein "	-1.756	-1.513
"B4232"	"fbp"	"fbp fructose-bisphosphatase "	1.514	-0.594
"B4233"	"yjfG"	"yjfG putative ligase "	0.037	-0.062
"B4234"	"yjgA"	"yjgA putative alpha helix protein "	-0.517	0.668
"B4235"	"pmbA"	"pmbA maturation of antibiotic MccB17, see tld genes "	-0.789	0.236
"B4236"	"cybC"	"cybC cytochrome b(562) "		-0.694
"B4237"	"nrdG"	"nrdG anaerobic ribonucleotide reductase activating protein "		
"B4238"	"nrdD"	"nrdD anaerobic ribonucleoside-triphosphate reductase "	-1.028	-0.895
"B4239"	"treC"	"treC trehalase 6-P hydrolase "	2.111	
"B4240"	"treB"	"treB PTS system enzyme II, trehalose specific "	2.228	
"B4241"	"treR"	"treR repressor of treA,B,C "	-1.85	
"B4242"	"mgtA"	"mgtA Mg2+ transport ATPase, P-type 1 "	-1.402	
"B4243"	"yjgF"	"yjgF orf, hypothetical protein "	3.861	1.35
"B4244"	"pyrI"	"pyrI aspartate carbamoyltransferase, regulatory subunit "	4.291	0.17
"B4245"	"pyrB"	"pyrB aspartate carbamoyltransferase, catalytic subunit "	4.067	0.024
"B4246"	"pyrL"	"pyrL pyrBI operon leader peptide "	1.782	1.248
"B4247"	"yjgG"	"yjgG orf, hypothetical protein "	-0.588	0.554
"B4248"	"yjgH"	"yjgH orf, hypothetical protein "		-0.184
"B4251"	"yjgJ"	"yjgJ orf, hypothetical protein "		
"B4254"	"argI"	"argI ornithine carbamoyltransferase 1 "	-2.457	-1.354
"B4255"	"yjgD"	"yjgD orf, hypothetical protein "	1.005	1.133
"B4256"	"B4256"	"B4256 orf, hypothetical protein "		-1.046
"B4257"	"yjgN"	"yjgN orf, hypothetical protein "		-0.816
"B4258"	"valS"	"valS valine tRNA synthetase "	0.062	0.564
"B4259"	"holC"	"holC DNA polymerase III, chi subunit "		-0.003
"B4260"	"pepA"	"pepA aminopeptidase A/I "	-0.191	0.603
"B4261"	"yjgP"	"yjgP orf, hypothetical protein "	-1.426	0.154
"B4262"	"yjgQ"	"yjgQ orf, hypothetical protein "		-1.001
"B4263"	"yjgR"	"yjgR orf, hypothetical protein "	-1.766	-0.746
"B4264"	"idnR"	"idnR L-idonate transcriptional regulator "		-1.178
"B4265"	"idnT"	"idnT L-idonate transporter "		-1.056
"B4266"	"idnO"	"idnO 5-keto-D-gluconate 5-reductase "		0.062
"B4269"	"yjgB"	"yjgB putative oxidoreductase "		-0.645
"B4272"	"yi21_6"	"yi21_6 IS2 hypothetical protein "	-3.092	-1.29
"B4273"	"yi22_6"	"yi22_6 IS2 hypothetical protein "	-3.708	-1.845
"B4275"	"yjgX"	"yjgX orf, hypothetical protein "	-1.108	-0.549
"B4278"	"yi41"	"yi41 IS4 hypothetical protein "		-1.81
"B4284"	"tra8_3"	"tra8_3 IS30 transposase "	-2.527	-1.52
"B4285"	"B4285"	"B4285 putative transposase "		
"B4288"	"fecD"	"fecD citrate-dependent iron transport, membrane-bound protein "	-2.06	-1.587
"B4289"	"fecC"	"fecC citrate-dependent iron(III) transport protein, cytosolic "	-1.101	-0.372
"B4290"	"fecB"	"fecB citrate-dependent iron transport, periplasmic protein "	0.439	-0.28
"B4291"	"fecA"	"fecA outer membrane receptor; citrate-dependent iron transport, outer membrane receptor "	1.804	-0.385
"B4292"	"fecR"	"fecR regulator for fec operon, periplasmic "		0.232
"B4293"	"fecI"	"fecI probable RNA polymerase sigma factor "	-1.857	1.53
"B4294"	"insA_7"	"insA_7 IS1 protein InsA "		-0.887
"B4295"	"yjhU"	"yjhU orf, hypothetical protein "		-1.224
"B4296"	"yjhF"	"yjhF putative transport system permease "		
"B4297"	"yjhG"	"yjhG putative dehydratase "		-0.752
"B4299"	"yjhI"	"yjhI putative regulator "		
"B4301"	"sgcE"	"sgcE putative epimerase "		
"B4302"	"sgcA"	"sgcA putative PTS system enzyme II A component "		-0.008
